   CLR    UP    DW   WPC DATOS    SP PCout
     1     0     0     0  0000 00000  0000
     0     0     0     0  0000 00000  0000
     0     0     0     0  0000 00000  0001
     0     0     0     0  0000 00000  0002
     0     0     0     0  0000 00000  0003
     0     1     0     1  0060 00000  0004
     0     0     0     0  0000 00001  0060
     0     0     0     0  0000 00001  0061
     0     0     0     0  0000 00001  0062
     0     1     0     1  0140 00001  0063
     0     0     0     0  0000 00010  0140
     0     0     0     0  0000 00010  0141
     0     0     0     0  0000 00010  0142
     0     0     0     1  1000 00010  0143
     0     0     0     0  0000 00010  1000
     0     0     0     0  0000 00010  1001
     0     0     1     0  0000 00010  1002
     0     0     0     0  0000 00001  0001
     0     0     0     0  0000 00001  0002
     0     0     0     0  0000 00001  0003
     0     0     1     0  0000 00001  0004
     0     0     0     0  0000 00000  0001
     0     0     0     0  0000 00000  0002
